Soliders each: 70 || Attacker Win %: 77.6 || Defender Win %: 22.4 || Games Played: 1000
Soliders each: 71 || Attacker Win %: 79.4 || Defender Win %: 20.6 || Games Played: 1000
Soliders each: 72 || Attacker Win %: 78.2 || Defender Win %: 21.8 || Games Played: 1000
Soliders each: 73 || Attacker Win %: 79.0 || Defender Win %: 21.0 || Games Played: 1000
Soliders each: 74 || Attacker Win %: 79.7 || Defender Win %: 20.3 || Games Played: 1000
Soliders each: 75 || Attacker Win %: 77.2 || Defender Win %: 22.8 || Games Played: 1000
Soliders each: 76 || Attacker Win %: 79.9 || Defender Win %: 20.1 || Games Played: 1000
Soliders each: 77 || Attacker Win %: 77.2 || Defender Win %: 22.8 || Games Played: 1000
Soliders each: 78 || Attacker Win %: 80.7 || Defender Win %: 19.3 || Games Played: 1000
Soliders each: 79 || Attacker Win %: 77.9 || Defender Win %: 22.1 || Games Played: 1000
Soliders each: 80 || Attacker Win %: 77.7 || Defender Win %: 22.3 || Games Played: 1000
Soliders each: 81 || Attacker Win %: 79.3 || Defender Win %: 20.7 || Games Played: 1000
Soliders each: 82 || Attacker Win %: 77.7 || Defender Win %: 22.3 || Games Played: 1000
Soliders each: 83 || Attacker Win %: 81.2 || Defender Win %: 18.8 || Games Played: 1000
Soliders each: 84 || Attacker Win %: 79.9 || Defender Win %: 20.1 || Games Played: 1000
Soliders each: 85 || Attacker Win %: 82.7 || Defender Win %: 17.3 || Games Played: 1000
Soliders each: 86 || Attacker Win %: 82.0 || Defender Win %: 18.0 || Games Played: 1000
Soliders each: 87 || Attacker Win %: 78.4 || Defender Win %: 21.6 || Games Played: 1000
Soliders each: 88 || Attacker Win %: 80.5 || Defender Win %: 19.5 || Games Played: 1000
Soliders each: 89 || Attacker Win %: 82.1 || Defender Win %: 17.9 || Games Played: 1000
Soliders each: 90 || Attacker Win %: 82.7 || Defender Win %: 17.3 || Games Played: 1000
Soliders each: 91 || Attacker Win %: 82.0 || Defender Win %: 18.0 || Games Played: 1000
Soliders each: 92 || Attacker Win %: 82.3 || Defender Win %: 17.7 || Games Played: 1000
Soliders each: 93 || Attacker Win %: 82.6 || Defender Win %: 17.4 || Games Played: 1000
Soliders each: 94 || Attacker Win %: 81.4 || Defender Win %: 18.6 || Games Played: 1000
Soliders each: 95 || Attacker Win %: 80.2 || Defender Win %: 19.8 || Games Played: 1000
Soliders each: 96 || Attacker Win %: 82.1 || Defender Win %: 17.9 || Games Played: 1000
Soliders each: 97 || Attacker Win %: 82.5 || Defender Win %: 17.5 || Games Played: 1000
Soliders each: 98 || Attacker Win %: 79.9 || Defender Win %: 20.1 || Games Played: 1000
Soliders each: 99 || Attacker Win %: 83.4 || Defender Win %: 16.6 || Games Played: 1000
Soliders each: 100 || Attacker Win %: 83.0 || Defender Win %: 17.0 || Games Played: 1000
